name,full_name,tally,panel,ensembl,location,uniprot,tags,OMIM,panels,panel_names,disease_group,disease_sub_group,mode_of_inheritance,confidence_level,len,pLI,pRec,pNull,%modelled
TSC2,TSC complex subunit 2,23,,ENSG00000103197,(build: 38)16:2047465-2088720,P49815,,191092,105|122|156|178|197|245|259|283|285|309|391|402|470|478|484|493|53|558|559|96,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|Childhood solid tumours pertinent cancer susceptibility|Classical tuberous sclerosis|Cystic kidney disease|DDG2P|Ehlers Danlos syndromes|End-stage renal disease - childhood onset|Fetal anomalies|Genetic epilepsy syndromes|Intellectual disability|Malformations of cortical development|Multiple monogenic benign skin tumours|Pigmentary skin disorders|Pneumothorax - familial|Primary ciliary disorders|Renal and urinary tract disorders|Skeletal dysplasia|Thoracic dystrophies|Tumour predisposition - adult onset,Cancer Programme|Ciliopathies|NA|Neurology and neurodevelopmental disorders|Renal and urinary tract disorders|Respiratory disorders|Rheumatological disorders|Skeletal disorders|Tumour syndromes,Connective tissues disorders|Disorders of function|Inherited Epilepsy Syndromes|NA|Neurodevelopmental disorders|Pertinent cancer susceptibility gene panel|Respiratory ciliopathies|Skeletal dysplasias|Structural lung disorders|Structural renal and urinary tract disease|Tumour syndromes,Monoallelic|NA,0|1|3|4,1807,0.999999983,1.66E-08,9.80E-22,0
PCSK5,proprotein convertase subtilisin/kexin type 5,1,,ENSG00000099139,(build: 38)9:75890644-76362339,Q92824,,600488,5,Currarino triad,NA,NA,Unknown,1,1860,0.000207779,0.99979222,5.50E-10,0
MNX1,motor neuron and pancreas homeobox 1,12,,ENSG00000130675,(build: 38)7:156994051-157010651,P50219,,142994,152|253|26|285|293|309|472|478|484|5|87,Currarino triad|DDG2P|Diabetes - neonatal onset|Diabetes with additional phenotypes suggestive of a monogenic aetiology|Familial diabetes|Fetal anomalies|Intellectual disability|Monogenic diabetes|Multi-organ autoimmune diabetes|Non-syndromic familial congenital anorectal malformations|Skeletal dysplasia,Endocrine disorders|Gastroenterological disorders|NA|Neurology and neurodevelopmental disorders|Skeletal disorders,Disorders of unusual phenotypes|Gastrointestinal disorders|NA|Neurodevelopmental disorders|Skeletal dysplasias,Biallelic|Monoallelic,0|2|3|4,401,-1,-1,-1,0
VANGL1,VANGL planar cell polarity protein 1,3,,ENSG00000173218,(build: 38)1:115641953-115698224,Q8TAA9,,610132,11|484|5,Currarino triad|DDG2P|Familial Neural Tube Defects,NA,NA,Monoallelic,1,524,0.533615186,0.465704188,0.000680626,0
GDF11,growth differentiation factor 11,1,,ENSG00000135414,(build: 38)12:55743280-55757278,O95390,,603936,5,Currarino triad,NA,NA,Unknown,1,407,0.963838119,0.036092619,6.93E-05,0.265356265
PAM16,presequence translocase associated motor 16,2,,ENSG00000217930,(build: 38)16:4331549-4355607,Q9Y3D7,,614336,309|5,Currarino triad|Skeletal dysplasia,NA|Skeletal disorders,NA|Skeletal dysplasias,Biallelic,1,125,0.144011544,0.778804605,0.077183852,0
SHH,sonic hedgehog,13,,ENSG00000164690,(build: 38)7:155799986-155812273,Q15465,,600725,101|234|285|294|309|34|402|478|483|484|493|5,Anophthalmia or microphthalmia|CAKUT|Currarino triad|DDG2P|Fetal anomalies|Genetic epilepsy syndromes|Intellectual disability|Ocular coloboma|Pituitary hormone deficiency|Renal and urinary tract disorders|Skeletal dysplasia|VACTERL-like phenotypes,Dysmorphic and congenital abnormality syndromes|NA|Neurology and neurodevelopmental disorders|Ophthalmological disorders|Renal and urinary tract disorders|Skeletal disorders,Inherited Epilepsy Syndromes|Limb disorders|NA|Neurodevelopmental disorders|Ocular malformations|Skeletal dysplasias|Structural renal and urinary tract disease,Monoallelic|NA|Unknown,1|2|3|4,462,0.912961328,0.086410825,0.000627847,0.376623377
FUZ,fuzzy planar cell polarity protein,3,,ENSG00000010361,(build: 38)19:49806869-49817376,Q9BT04,,610622,11|478|5,Currarino triad|Familial Neural Tube Defects|Fetal anomalies,NA,NA,Monoallelic|NA|Unknown,1,418,0.002088164,0.914415471,0.083496365,0
T,T brachyury transcription factor,4,,ENSG00000164458,(build: 38)6:166157656-166168700,O15178,new-gene-name,601397,11|217|253|5,Currarino triad|Familial Neural Tube Defects|Non-syndromic familial congenital anorectal malformations|Sarcoma pertinent cancer susceptibility,Cancer Programme|Gastroenterological disorders|NA,Gastrointestinal disorders|NA|Pertinent cancer susceptibility gene panel,Biallelic|Monoallelic|NA,1|3,,,,,0.422988506
VANGL2,VANGL planar cell polarity protein 2,3,,ENSG00000162738,(build: 38)1:160400586-160428678,Q9ULK5,,600533,11|126|5,Currarino triad|Familial Neural Tube Defects|Hearing loss,Hearing and ear disorders|NA,NA|Non-syndromic hearing loss,Monoallelic|NA,1,521,0.948574652,0.051418477,6.87E-06,0
ZIC3,Zic family member 3,15,,ENSG00000156925,(build: 38)X:137566142-137577691,O60481,,300265,101|122|178|179|212|247|253|285|309|478|484|5|549,Currarino triad|DDG2P|Familial non syndromic congenital heart disease|Fetal anomalies|Hydrocephalus|Intellectual disability|Laterality disorders and isomerism|Non-syndromic familial congenital anorectal malformations|Primary ciliary disorders|Radial dysplasia|Skeletal dysplasia|Thoracic dystrophies|VACTERL-like phenotypes,Cardiovascular disorders|Ciliopathies|Dysmorphic and congenital abnormality syndromes|Gastroenterological disorders|NA|Neurology and neurodevelopmental disorders|Skeletal disorders,Congenital heart disease|Dysmorphic disorders|Gastrointestinal disorders|Limb disorders|NA|Neurodevelopmental disorders|Respiratory ciliopathies|Skeletal dysplasias,NA|X-Linked,1|2|3|4,467,0.822806978,0.173226409,0.003966613,0.301927195
GDF6,growth differentiation factor 6,10,,ENSG00000156466,(build: 38)8:96142330-96160792,Q6KF10,,601147,11|251|285|294|307|309|34|478|484|5,Anophthalmia or microphthalmia|Currarino triad|DDG2P|Deafness and congenital structural abnormalities|Familial Neural Tube Defects|Fetal anomalies|Intellectual disability|Ocular coloboma|Retinal disorders|Skeletal dysplasia,Hearing and ear disorders|NA|Neurology and neurodevelopmental disorders|Ophthalmological disorders|Skeletal disorders,Deafness and congenital structural abnormalities|NA|Neurodevelopmental disorders|Ocular malformations|Posterior segment abnormalities|Skeletal dysplasias,Biallelic|Monoallelic|NA,1|2|4,455,0.910386172,0.088937582,0.000676246,0
FECH,ferrochelatase,14,,ENSG00000066926,(build: 38)18:57548283-57586772,P22830,,612386,302|467|469|471|513|515|91,"Cardiomyopathies - including childhood onset|Erythropoietic protoporphyria, mild variant|Inborn errors of metabolism|Iron metabolism disorders|Molecular autopsy|Non-acute porphyrias|Undiagnosed metabolic disorders",Dermatological disorders|Metabolic disorders|NA,NA|Specific metabolic abnormalities|Sun-exposure related conditions,Biallelic,2|3|4,423,0.138946553,0.860195859,0.000857588,0.855791962
ALAS2,5'-aminolevulinate synthase 2,11,,ENSG00000158578,(build: 38)X:55009055-55031064,P22557,,301300,159|20|469|471|474|477|513|515|518|91,"Ataxia and cerebellar anomalies - narrow panel|Cardiomyopathies - including childhood onset|Cytopaenias and congenital anaemias|Erythropoietic protoporphyria, mild variant|Hereditary ataxia|Iron metabolism disorders|Molecular autopsy|Neurodegenerative disorders - adult onset|Non-acute porphyrias|Rare anaemia",Dermatological disorders|Haematological disorders|NA|Neurology and neurodevelopmental disorders,Anaemias and red cell disorders|Motor Disorders of the CNS|NA|Sun-exposure related conditions,X-Linked,1|2|3|4,587,0.970654598,0.029304128,4.13E-05,0.756388416
RAD51D,RAD51 paralog D,8,,ENSG00000185379,(build: 38)17:35092208-35121522,O75771,,602954,117|143|158|245|391|470|64,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|ClinGen Gene Validity Curations|Familial breast cancer|Inherited ovarian cancer (without breast cancer)|Ovarian cancer pertinent cancer susceptibility|Tumour predisposition - adult onset,Cancer Programme|NA|Tumour syndromes,Breast and endocrine|NA|Pertinent cancer susceptibility gene panel|Tumour syndromes,Monoallelic,1|3|4,328,6.19E-07,0.678061938,0.321937443,0.25
RAD51C,RAD51 paralog C,21,,ENSG00000108384,(build: 38)17:58692573-58735611,O43502,,602774,117|143|158|159|162|243|245|255|259|285|384|391|470|478|484|508|59|64|8,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|Childhood solid tumours pertinent cancer susceptibility|ClinGen Gene Validity Curations|Confirmed Fanconi anaemia or Bloom syndrome|Cytopaenias and congenital anaemias|DDG2P|Familial breast cancer|Fetal anomalies|Haematological malignancies pertinent cancer susceptibility|Inherited ovarian cancer (without breast cancer)|Intellectual disability|Limb disorders|Neurofibromatosis Type 1|Ovarian cancer pertinent cancer susceptibility|Refuted genes|Severe microcephaly|Tumour predisposition - adult onset|Tumour predisposition - childhood onset,Cancer Programme|Dysmorphic and congenital abnormality syndromes|Haematological disorders|NA|Neurology and neurodevelopmental disorders|Tumour syndromes,Anaemias and red cell disorders|Breast and endocrine|Childhood Tumours|DNA repair disorders|Muscle and nerve|NA|Neurodevelopmental disorders|Pertinent cancer susceptibility gene panel|Tumour syndromes,Biallelic|Monoallelic,1|2|3|4,376,4.28E-09,0.195397781,0.804602215,0
MSH2,mutS homolog 2,30,,ENSG00000095002,(build: 38)2:47402969-47562311,P43246,,609309,117|143|154|158|166|167|17|171|201|208|217|243|245|254|255|259|271|273|290|318|391|407|470|478|503|504|521|524|558|59,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|Bladder cancer pertinent cancer susceptibility|Brain cancer pertinent cancer susceptibility|Childhood solid tumours pertinent cancer susceptibility|Endometrial cancer pertinent cancer susceptibility|Familial Tumours Syndromes of the central & peripheral Nervous system|Familial breast cancer|Familial prostate cancer|Familial rhabdomyosarcoma|Fetal anomalies|Genodermatoses with malignancies|Haematological malignancies for rare disease|Haematological malignancies pertinent cancer susceptibility|Inherited MMR deficiency (Lynch syndrome)|Inherited colorectal cancer (with or without polyposis)|Inherited non-medullary thyroid cancer|Inherited ovarian cancer (without breast cancer)|Inherited pancreatic cancer|Inherited polyposis|Inherited renal cancer|Multiple monogenic benign skin tumours|Neurofibromatosis Type 1|Ovarian cancer pertinent cancer susceptibility|Prostate cancer pertinent cancer susceptibility|Renal cancer pertinent cancer susceptibility|Sarcoma pertinent cancer susceptibility|Tumour predisposition - adult onset|Tumour predisposition - childhood onset|Upper gastrointestinal cancer pertinent cancer susceptibility,Cancer Programme|NA|Tumour syndromes,Breast and endocrine|Childhood Tumours|GI tract|Muscle and nerve|NA|Pertinent cancer susceptibility gene panel|Skin|Tumour syndromes,Biallelic|Both|Monoallelic|NA|Unknown,0|1|2|3|4,934,0.867725631,0.132274239,1.31E-07,0.998929336
TP53,tumor protein p53,20,,ENSG00000141510,(build: 38)17:7661779-7687550,P04637,,191170,143|158|159|166|167|217|243|245|254|259|290|36|391|407|470|519|525|55|97,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|Brain cancer pertinent cancer susceptibility|Breast cancer pertinent cancer susceptibility|Childhood solid tumours pertinent cancer susceptibility|Cytopaenias and congenital anaemias|Cytopenia - NOT Fanconi anaemia|Familial Tumours Syndromes of the central & peripheral Nervous system|Familial breast cancer|Familial rhabdomyosarcoma|Haematological malignancies for rare disease|Inherited colorectal cancer (with or without polyposis)|Inherited ovarian cancer (without breast cancer)|Inherited phaeochromocytoma and paraganglioma|Inherited predisposition to acute myeloid leukaemia (AML)|Multiple endocrine tumours|Sarcoma pertinent cancer susceptibility|Tumour predisposition - adult onset|Tumour predisposition - childhood onset,Cancer Programme|Haematological disorders|NA|Tumour syndromes,Anaemias and red cell disorders|Breast and endocrine|Childhood Tumours|GI tract|Muscle and nerve|NA|Pertinent cancer susceptibility gene panel|Tumour syndromes,Monoallelic|NA,1|2|3|4,393,0.912222953,0.087750328,2.67E-05,0.997455471
BRCA1,"BRCA1, DNA repair associated",19,,ENSG00000012048,(build: 38)17:43044295-43170245,P38398,,113705,117|143|158|159|171|245|254|259|285|318|391|407|470|478|484|508|524|55|59,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|Breast cancer pertinent cancer susceptibility|Childhood solid tumours pertinent cancer susceptibility|Confirmed Fanconi anaemia or Bloom syndrome|Cytopaenias and congenital anaemias|DDG2P|Familial breast cancer|Familial prostate cancer|Fetal anomalies|Haematological malignancies for rare disease|Haematological malignancies pertinent cancer susceptibility|Inherited colorectal cancer (with or without polyposis)|Inherited non-medullary thyroid cancer|Inherited ovarian cancer (without breast cancer)|Inherited pancreatic cancer|Intellectual disability|Ovarian cancer pertinent cancer susceptibility|Tumour predisposition - adult onset,Cancer Programme|Haematological disorders|NA|Neurology and neurodevelopmental disorders|Tumour syndromes,Anaemias and red cell disorders|Breast and endocrine|GI tract|NA|Neurodevelopmental disorders|Pertinent cancer susceptibility gene panel|Tumour syndromes,Biallelic|Both|Monoallelic|NA|Unknown,1|2|3|4,1863,3.29E-20,0.106035253,0.893964747,0.174986581
BRCA2,"BRCA2, DNA repair associated",27,,ENSG00000139618,(build: 38)13:32315474-32400266,P51587,,600185,117|143|158|159|162|17|171|243|245|254|255|259|285|318|384|391|407|470|478|484|508|522|524|55|59,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|Breast cancer pertinent cancer susceptibility|Childhood solid tumours pertinent cancer susceptibility|Confirmed Fanconi anaemia or Bloom syndrome|Cytopaenias and congenital anaemias|DDG2P|Familial breast cancer|Familial melanoma|Familial prostate cancer|Fetal anomalies|Haematological malignancies for rare disease|Haematological malignancies pertinent cancer susceptibility|Inherited colorectal cancer (with or without polyposis)|Inherited non-medullary thyroid cancer|Inherited ovarian cancer (without breast cancer)|Inherited pancreatic cancer|Intellectual disability|Limb disorders|Neurofibromatosis Type 1|Ovarian cancer pertinent cancer susceptibility|Prostate cancer pertinent cancer susceptibility|Severe microcephaly|Tumour predisposition - adult onset|Tumour predisposition - childhood onset,Cancer Programme|Dysmorphic and congenital abnormality syndromes|Haematological disorders|NA|Neurology and neurodevelopmental disorders|Tumour syndromes,Anaemias and red cell disorders|Breast and endocrine|Childhood Tumours|DNA repair disorders|GI tract|Muscle and nerve|NA|Neurodevelopmental disorders|Pertinent cancer susceptibility gene panel|Tumour syndromes,Biallelic|Monoallelic|NA|Unknown,1|2|3|4,3418,2.21E-15,0.999975298,2.47E-05,0.015213575
EPCAM,epithelial cell adhesion molecule,10,,ENSG00000119888,(build: 38)2:47345158-47387601,P16422,,185535,143|158|176|254|33|391|398|470|503|504,Adult solid tumours for rare disease|Familial breast cancer|Gastrointestinal epithelial barrier disorders|Infantile enterocolitis & monogenic inflammatory bowel disease|Inherited MMR deficiency (Lynch syndrome)|Inherited colorectal cancer (with or without polyposis)|Inherited ovarian cancer (without breast cancer)|Inherited polyposis|Primary immunodeficiency|Tumour predisposition - adult onset,Gastroenterological disorders|NA|Tumour syndromes,Breast and endocrine|GI tract|Gastrointestinal disorders|NA|Tumour syndromes,Biallelic|Monoallelic|NA,1|3|4,314,7.50E-07,0.479893423,0.520105827,0.767515924
RRAS2,RAS related 2,2,,ENSG00000133818,(build: 38)11:14277926-14364506,P62070,,600098,143|158,Familial breast cancer|Inherited ovarian cancer (without breast cancer),Tumour syndromes,Breast and endocrine,Unknown,1,204,0.674254314,0.32094793,0.004797756,0.828431373
ATM,ATM serine/threonine kinase,26,,ENSG00000149311,(build: 38)11:108222484-108369102,Q13315,,607585,123|143|155|158|166|167|192|20|243|245|259|285|391|407|470|474|475|477|478|484|563|59,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|Ataxia and cerebellar anomalies - narrow panel|Brain cancer pertinent cancer susceptibility|Childhood solid tumours pertinent cancer susceptibility|DDG2P|Dystonia - childhood onset|Early onset dystonia|Familial Tumours Syndromes of the central & peripheral Nervous system|Familial breast cancer|Fetal anomalies|Haematological malignancies for rare disease|Haematological malignancies pertinent cancer susceptibility|Hereditary ataxia|Hereditary haemorrhagic telangiectasia|Inherited ovarian cancer (without breast cancer)|Intellectual disability|Neurodegenerative disorders - adult onset|Primary ovarian insufficiency|Tumour predisposition - adult onset|Tumour predisposition - childhood onset|Vascular skin disorders,Cancer Programme|Endocrine disorders|NA|Neurology and neurodevelopmental disorders|Respiratory disorders|Tumour syndromes,Breast and endocrine|Childhood Tumours|Gonadal and sex development disorders|Motor Disorders of the CNS|Muscle and nerve|NA|Neurodevelopmental disorders|Pertinent cancer susceptibility gene panel|Tumour syndromes|Vascular lung disorders,Biallelic|Both|Monoallelic|NA,1|3|4,3056,2.71E-30,0.999996031,3.97E-06,0.999672775
BRIP1,BRCA1 interacting protein C-terminal helicase 1,23,,ENSG00000136492,(build: 38)17:61681266-61863521,Q9BX63,,605882,115|143|158|159|162|243|247|255|259|285|318|384|391|407|470|478|484|508|59,Adult solid tumours for rare disease|Childhood solid tumours pertinent cancer susceptibility|Confirmed Fanconi anaemia or Bloom syndrome|Cytopaenias and congenital anaemias|DDG2P|Familial breast cancer|Familial prostate cancer|Fetal anomalies|Haematological malignancies for rare disease|Haematological malignancies pertinent cancer susceptibility|Head and neck cancer pertinent cancer susceptibility|Inherited ovarian cancer (without breast cancer)|Intellectual disability|Limb disorders|Neurofibromatosis Type 1|Radial dysplasia|Severe microcephaly|Tumour predisposition - adult onset|Tumour predisposition - childhood onset,Cancer Programme|Dysmorphic and congenital abnormality syndromes|Haematological disorders|NA|Neurology and neurodevelopmental disorders|Tumour syndromes,Anaemias and red cell disorders|Breast and endocrine|Childhood Tumours|DNA repair disorders|Dysmorphic disorders|Muscle and nerve|NA|Neurodevelopmental disorders|Pertinent cancer susceptibility gene panel|Tumour syndromes,Biallelic|Monoallelic|Unknown,1|3|4,1249,5.38E-13,0.932068251,0.067931749,0.017614091
XRCC2,X-ray repair cross complementing 2,5,,ENSG00000196584,(build: 38)7:152644779-152676165,O43543,,600375,143|158|407|508|59,Confirmed Fanconi anaemia or Bloom syndrome|Familial breast cancer|Haematological malignancies for rare disease|Haematological malignancies pertinent cancer susceptibility|Inherited ovarian cancer (without breast cancer),Cancer Programme|NA|Tumour syndromes,Breast and endocrine|NA|Pertinent cancer susceptibility gene panel|Tumour syndromes,Biallelic|NA,1|2|4,280,4.24E-06,0.384417242,0.615578519,0
MUTYH,mutY DNA glycosylase,9,,ENSG00000132781,(build: 38)1:45329163-45340470,Q9UIF7,,604933,143|158|244|245|254|391|470|504,Adult solid tumours for rare disease|Adult solid tumours pertinent cancer susceptibility|Colorectal cancer pertinent cancer susceptibility|Familial breast cancer|Inherited colorectal cancer (with or without polyposis)|Inherited ovarian cancer (without breast cancer)|Inherited polyposis|Tumour predisposition - adult onset,Cancer Programme|NA|Tumour syndromes,Breast and endocrine|GI tract|NA|Pertinent cancer susceptibility gene panel|Tumour syndromes,Biallelic|NA,1|3|4,546,8.57E-11,0.444669653,0.555330347,0.771062271
